Designator,Mid X,Mid Y,Rotation,Layer
C1,100.965,-106.68,90.0,top
C2,88.9,-121.285,270.0,top
J2,109.22,-111.76,0.0,top
J3,96.51,-127.0,270.0,top
U1,92.71,-114.3,270.0,top
Y1,91.186,-106.68,0.0,top
